query,Post ID,Post Content,nickname,link
示威; 2018-02-09; 1; 5,1,#情感#一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢！为 ​		,恋旧的时米,//weibo.com/6433120039/G2mi26EpR?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,2,#情感#一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢！ ​		,神秘些以,//weibo.com/6433015043/G2lWV41HW?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,3,		【必看！古人的19种智谋，佩服】01、欲抑先扬明朝庄浪地方部落拭挫鲁麟，本为守甘肃的副将，他向朝廷要求当大将而没被获准。便依仗自己部落强大，向朝廷示威，以孩子幼小为由而擅离职守，自行回庄浪部落。面对这种情况，朝中有人主张封他为大将，有的主张把他召到京城，给他封地。惟有尚书刘大夏说 ​			...展开全文c,寒岩之月,//weibo.com/1891425827/G2lSuiCH8?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,4,|辩护人，#不想让我的孩子生活在因为这种荒唐的事踩刹车的年代# A：“就因为这些滥用法律的人，国家才变成现在这个德行”B：“怎么了？他们也是依法处罚犯法的罪人，有什么不对的？考上首尔大学，也只会进行示威，当赤色份子。”A：“你还真信电视里的这些鬼话 ​			...展开全文c,Gadzooks_,//weibo.com/2198034012/G2lJjaEnO?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,5,		粉爪爪太可爱了！想到它其实是在不停示威我就更加———//@著名网黄猫日:从小到大都是个坨坨,渊鸢_不做人了,//weibo.com/1560021134/G2hQgkQYH?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,6,#会动的zoo# 円山动物园的明星能宝宝円実~的成长记录~称体重那里真是太可爱了X3【油管：cattail Sapporo】 宝榛的动物... ​	,NA,//weibo.com/1832094835/G2lyrqC9X?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,7,		//@JFsTalk：想起电影辩护人里男主对参加示威活动的学生说：“你以为世道那么容易改变的吗，以卵击石，那是没有用的。”学生回答：“即使岩石再坚硬，那也是死的。鸡蛋再脆弱，也是活的。岩石最终会碎成细沙，鸡蛋最终会孵化跳过岩石。”		,dfwyr,//weibo.com/1496908535/FClqLxmVg?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,8,	  1989年柏林墙被推倒那一刻，俄罗斯传奇大提琴大师罗斯特罗波维奇飞往柏林，然后从机场打车直接赶到柏林墙拆除现场。他借了把椅子，在残垣间奏起巴赫的‘无伴奏大提琴组曲。“我无法忘怀想要翻越这堵墙而丧生的人们，这是我来到这里演奏的原因。当我拉起萨拉班德（一种庄严的西班牙风舞曲）时，人群里有 ​		...展开全文c,NA,//weibo.com/5463171050/G2ltdjjlZ?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,9,		这两个表情让我哭笑不得，我可以理解为对hiro的示威吗,hughkjjkkk,//weibo.com/5451458040/G2kjiAwPA?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,10, ​	,NA,//weibo.com/5129740907/G2ljD5Puy?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,11,		一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢！为天使奶 ​		,用户3662484875,//weibo.com/3662484875/G2liK4ps2?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,12,		上班遇奇葩人事迹：奇葩女S：️让做不在工作范围内的事，一副主任口吻，甩她脸色，然后把主任带来我面前示威。还经常嘴巴吧唧吧唧没人理她自己傻笑，每次见到都想说“你是不是没钱看医生”。️做文件，朋友感觉文件有问题，问了她不下三次这文件要不要去问问，她拍着飞机场说没问题，然后主任来 ​			...展开全文c,噼里啪啦全爆掉,//weibo.com/1963010893/G2leZv09O?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,13,		【风波不断！开幕式在即 韩国民众集结抗议】2018年2月9日，韩国平昌，冬奥会开幕式在即，场外聚集了一些韩国民众抗议，纷纷打出标语，反对奥林匹克政治化。 现场群众拿着韩国和美国国旗，举行抗议示威。|风波不断！... ​		,指尖上的运动,//weibo.com/6124094405/G2lestigK?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,14,		被示威的一点反抗机会都没 ​		,DS阿耀,//weibo.com/5399168058/G2ldPonRS?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,15,		HAHAHHAHAHH//@全志愿小天使: 哈哈哈哈上车！兄弟们！//@深度燦瘟小朋友:哇 阔爱//@当然不奇怪:上街示威的感觉,厂长夫人的一天,//weibo.com/2692977802/G2eZYEE69?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,16,	  笑死我了哈哈哈哈举手这个是什么鬼 啊跳__的秒... ​	,NA,//weibo.com/3119528873/G2lc2l854?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,17,		xinying5247一群人冲到华盛顿大学图书馆抗议示威，却被一名亚裔小哥一句话喝止，顿时鸦雀无声#ThugLife# 网页链接 ​		,S妞的瘦身减肥,//weibo.com/5086210713/G2l7Mcn9O?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,18,		【俄罗斯爆发全国反普京示威 300余人被捕】2018俄罗斯大选将于今年3月18日举行，而反对派领袖纳瓦尼被当局禁止参选。1月28日，纳瓦尼在俄罗斯全国超过100个城市及市镇发起示威，数以千计的俄罗斯人手持标语走上街头。警方随后拘捕纳瓦尼，但目前他已获释。ABC新闻报道称，示威期间还有300余人被捕。 ​			...展开全文c,柴Gh玉柴,//weibo.com/6157449784/G2l71s0F2?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,19,		光想象那个声音都觉得不寒而栗，而当时听见悲鸣见死不救的人现在却在对这位世界上最可怜的母亲示威，辱骂。这样一个人，不知道存在的意义何在。,你猛叫,//weibo.com/1670421223/G1ZQFBM2C?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,20,	  陈世峰杀人案中当事人报警电话背景声中的悲鸣，虽然法庭在播放时刻意做了技术处理，但是，听到过这个原声的人还是有的。江歌妈妈听过，也有不止一个的其他人听过。而且，邻居在证词中也听到过。可以肯定的是，这个悲伤的、令人绝望的，法庭上都无法让普通人直面的声音，来自于江歌。 ​	,NA,//weibo.com/1647315001/G2l5rm0lY?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,21,		《发布大馬士革近日不斷傳出砲火攻擊，受傷的男孩和其他傷患一起躺在地上等待救治。二、意識形態加深對立 內戰爆發隨著民眾抗議規模越來越大，示威活動開始轉成了官民對峙的內戰，此時反政府軍集結起來，他們希望把政府軍趕走並拿下城市鄉鎮的控制權。 2012年時，反政府軍的勢力一路延燒進首都大馬 ​			...展开全文c,Realistics求实,//weibo.com/6308316910/G2kW5E1Oj?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,22,		中国政府不管@捷信金融官方微博 ，哪么受害者应该组织到@捷克驻上海总领事馆 门口示威。把赶出@捷信金融官方微博 @捷克驻上海总领事馆 中国！		,捷信高利,//weibo.com/5854833857/G2fD7giFT?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,23,#变相高利贷捷信##变相高利贷捷信#  大家聚集起来 多关注 求支持  多扩散 让更多的人看到 ​	,NA,//weibo.com/5931878535/G2kPluMO8?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,24,		星島標題：八大校長籲政府與學生對話 近千示威者夜圍特首辦 ​		,小白生活馆空间,//weibo.com/6446370390/G2kIR0f5V?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,25,		//@GNIY-L:还记得上次韩劳姐姐去示威，结果说会为整个公司被诋毁的艺人起诉，然而到最后只有骂婶婶的被起诉了//@甜系糯米糍:sm最近忙着给十八铜人造势呢，这些事情他怎么会管，看都不会看,呀留不留一查哦,//weibo.com/2268491291/G21EPrI8V?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,26,	  【不知道SM司法部有没有正儿八经上过班诋毁一查欧的手段也是无奇不有 雇水军这个拜托好好彻底查一下吧 】 这位推主搜了一下昨天exo会在闭幕式上表演然后发现有人眼红故意买水军诋毁exo 发现到一些带着年轻女性的头像 虽然改了朴 崔 徐这几个姓氏但是名字差不多 上传的字也是相同的样式 为什么在政治 ​		...展开全文c,NA,//weibo.com/6384606046/G2kGUa6jJ?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,27,		过关了？还是元老院里有人对巴西琉斯的做法表示不满了，所以站出来示示威？		,毛里毬湿,//weibo.com/1885454921/G2kuZbOuc?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,28,	  【鲸快讯：中信银行对海航授信200亿元 称对海航未来充满信心】2月9日讯，从中信银行获悉，该行与海航集团签署战略合作协议，中信银行对海航集团战略授信200亿元，并量身定制综合金融服务方案，进一步深化双方战略合作伙伴关系。（腾讯） ​	,NA,//weibo.com/1763048030/G2kEkj4FM?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,29,#情感#一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢！为 ​		,国民偶像都学,//weibo.com/6192544370/G2ky43a01?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,30,		安好心，一方面向孙恩示威，好令他疑神疑鬼，信心LIW390受损；另一方面可保证自己难以活命， ​		,薇薇安离校莲,//weibo.com/6443294758/G2kwZf14d?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,31,		??之。而其发生的时间，BWD837正值钟楼议会召开的一刻，更充满挑战示威的意图。 究竟是花妖继 ​		,边乜苏_zpdadad,//weibo.com/6450174858/G2kwGF8xh?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,32,		【#旧金山买房#】网页链接 旧金山是一个度假的天堂。文史景观赏心悦目，餐馆佳肴令人惊喜，正是这座城市，给了我们垮掉的一代、嬉皮士革命、同性恋的示威，还有雅皮士。从空中俯瞰旧金山，这座城市就象晶体管收音机一样整洁，唐人街繁华的街景以浓缩的形式使游客品味到了中国的文化。金门 ​			...展开全文c,旧金山买房,//weibo.com/6067001148/G2ktUl5xf?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,33,#情感#一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢！为 ​		,不爸本人,//weibo.com/6192191760/G2kracG1n?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,34,		我最对不起的就是我的可怜的胃了他已经被我祸祸的不成样子，千疮百孔不时的疼痛，折磨我向我示威 ​		,我的会员快到期了,//weibo.com/5556291733/G2kkLmdaz?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,35,		哈哈哈哈哈哈哈想到哎一古金社长！//@酸酸酸酸酸豆九诶西:5555555//@艾欧尼亚第一赵信:想把李汭燦偷回家QAQ怎么可以这么可爱呜呜呜//@全志愿小天使: 哈哈哈哈上车！兄弟们！//@深度燦瘟小朋友:哇 阔爱//@当然不奇怪:上街示威的感觉,李Ray燦吹,//weibo.com/2692977802/G2eZYEE69?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,36,	  笑死我了哈哈哈哈举手这个是什么鬼 啊跳__的秒... ​	,NA,//weibo.com/5533827252/G2kiQgPz1?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,37,		怕老鼠，却不怕满嘴谎言的戴头巾小姑娘和因为遭受诬陷而示威的华人群体，真是个可爱的总理呢。		,开国司徒王景兴,//weibo.com/2375086267/G2k4qDRsh?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,38,#图说天下#【加拿大总理官邸成“老鼠乐园” 特鲁多：我怕！我要搬家！ 】加拿大政府首脑——联邦总理拥有自己的专属官邸：被命名为“和平之家”的渥太华国会山庄苏塞克斯大街24号。然而，出生在“和平之家”的加拿大现任总理特鲁多近日却表示，“我受不了一直住在‘和平之家’，那是绝不可能的” ​		...展开全文c,NA,//weibo.com/1959502395/G2k6j3Eoj?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,39,#情感#一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢? ​		,遗忘的个果,//weibo.com/6431670336/G2k1ZE6mJ?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,40,#情感#一位老奶奶奔波于以色列军警和巴勒斯坦示威民众之间，充当起冲突的义务调停人。她时而伸出手指训斥扔石块的抗议者，时而走到荷枪实弹的以色列大兵面前，劝诫他们不要动武。在拉架期间，老奶奶还被抗议民众碰倒在地…但她最终阻止了一场战火！人性的光辉，和平的宝贵，感谢老奶奶的勇敢！为 ​		,blue察买,//weibo.com/6431877596/G2jT4cd9X?refer_flag=1001030103_
示威; 2018-02-09; 1; 5,41,		　　【7名前港警穿囚衣分送三间监狱服刑】香港7名前警员因在2014年“占中”清场期间殴打非法集会示威者曾健超，17日被判全部入狱2年，不可缓刑，近日，七人在惩教署人员押解下，身穿囚衣登上囚车，前往所分配的监狱。 网页链接 ​		,兴奋fffd_89,//weibo.com/6448727898/G2jJm0M3c?refer_flag=1001030103_
