query,Post ID,Post Content,nickname,link
污染; 2018-02-19; 1; 10,1,这也不会是博主自己发着玩吧，如果现实生活中有这样的男孩，那就让他乖乖做只单身狗算了，不要出来祸害人类了，严重污染人类生态环境,Markus-Feng,//weibo.com/3129816345/G3OEYElf0?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,2,	  相亲遇到直男癌是什么体验 ​	,NA,//weibo.com/2988242687/G3PKz0YAV?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,3,		【茼蒿营养价值高】茼蒿富含矿物质、胡萝卜素、蛋白质、膳食纤维、维生素C等，污染轻，营养丰，高水分，低热能。茼蒿食用部分为幼嫩茎叶，味道清香，可凉拌，也可荤素炒食，烧豆腐、做汤、做馅等，秋冬涮火锅食用也别具风味。 ​		,小彡费_8zj8,//weibo.com/6155960190/G3PKyaesH?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,4,		每一个个体的行动汇聚在一起，都会成为推动变革的力量。请加入我们，让关切成为行动，一起#战胜污染#，携手迈向#零污染地球#。你的支持至关重要！@联合国环境规划署 @微公益网页链接 ​		,若泽为安6,//weibo.com/5873934188/G3PKo4cgm?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,5,我的小括弧//@DragonKnight_G字反黑组:广场被污染，大家转赞评好的微博上精选，点赞评论转发这条,LOVEGD龙tory,//weibo.com/2667414910/G3OeUADYX?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,6,#权志龙##鸡涌是宝宝# 一笑就是小括弧心都酥了真是乖崽崽啊又是只爱你的一天@GDRAGON_OFFICIAL ​	,NA,//weibo.com/5219832513/G3PKktYQu?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,7,		【空气质量日报】2月18日空气质量：中度污染，首要污染物：PM10，全市AQI指数：198 ​		,西安环保,//weibo.com/5346243842/G3PKcx7Nm?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,8,		//@苏哈哈_苏莱曼昵:上学时学政治课，老师告诉学生：资本主义是垂死的、腐朽的，两极分化厉害，空气污染严重，富人为所欲为，穷人连病都看不起，这样的纸老虎，兔子尾巴长不了，一打就完蛋！敌人一天天烂下去，我们一天天好起来。这么多年过去了，所言不虚，不但是民不聊生，也官不聊生！,流水无颜531xyy,//weibo.com/6153824818/G3OElCBc3?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,9,	  近日，有媒体爆出美帝退休总统奥巴马女儿四处打散工，来赚取社会履历！从毕业后，19岁的她一直在工作上碰壁，不得心愿，估计她每年正月拜年肯定都是匆匆的放下酒和点心，然后假寒暄几句，不多呆，生怕亲戚朋友问起她工作的事！一个正国级干部如果连子女都安置不好，还有什么脸说自己是为人民服务的？可 ​		...展开全文c,NA,//weibo.com/6455353539/G3PKboEOl?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,10,		//@DragonKnight_G字反黑组:广场被污染，大家转赞评好的微博上精选，点赞评论转发这条,愿永远永远_818,//weibo.com/2667414910/G3OeUADYX?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,11,#权志龙##鸡涌是宝宝# 一笑就是小括弧心都酥了真是乖崽崽啊又是只爱你的一天@GDRAGON_OFFICIAL ​	,NA,//weibo.com/5564785397/G3PK7dQDD?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,12,		【白开水也有保质期】很多家庭会在夏天准备个大玻璃杯凉白开水，认为这样卫生、方便。但夏季天热，空气湿度高，细菌繁殖快，凉白开放置时间不宜过长。无论常温或冷藏条件下，都不要超过2天，最好当天喝完。敞口放置时，要放在周围环境干净的地方，以免被污染。此外，切忌把放凉的水重新加热饮用。 ​		,悲恋担忧激,//weibo.com/6478687828/G3PK3qu15?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,13,特价258/2个，直邮，自留款Contigo保龄球保温水杯❤️保温10小时，保冷24小时❄️ 特殊材质的304不锈钢材质、环保无污染♻️不生锈双层不锈钢内胆 密封性超强顶部带有小把手 拎起来很方便️不含BPA 无毒无味 不漏不溢！ 591ml！国内一只都要300啦[调皮] ​		,coco美国代购正品直邮,//weibo.com/3930005484/G3PJYoKM6?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,14,		【卡隆海滩】卡隆海滩位于帕通海滩南，是普吉岛第三大海滩，也是岛上最长的海滩之一。卡隆海滩，不若巴通那般热闹喧哗，倒像是一座海水浴场。无污染的沙质海滩就像一个白色的勺子蜿蜒在海边。沿着海滩是一大片松木林，腹地很宽，游客要不戏水、晒太阳，要不就是坐在躺椅上看书、打盹，惬意至极…… ​		,零落怒吼单音,//weibo.com/6455573411/G3PJPde5o?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,15,		飞鹰参与环保志愿多年.保护环境.扶助贫寒.爱心助学.森林防火.抗洪支灾.多次奋勇救人！保护共亨环境.改善一条条遭污染的河流变清流.保护饮用水源.造福宁乡龙田人民！2017年龙田政府张炜书记请我参与创建龙田美好环境.上了四个月班.到年底工资一分都没付我.老婆闹着要离婚@湖南省政府门户网站@湖南微政务,大地飞鹰在路上,//weibo.com/3538147441/FnJEy8n0L?refer_flag=1001030103_
