query,Post ID,Post Content,nickname,link
污染; 2018-02-19; 1; 10,1,		小米大营养，一生多健康。农家小米，绿色无污染，欢迎选购。 ​		,I从没有离开过,//weibo.com/3776772121/G3PAxgYrW?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,2,		极其厌恶写着为性而性的低俗文字还要强行拉上文学/言论自由陪葬的这群所谓的粉丝。红楼梦也写宝玉梦可卿，可曾见过谁说曹雪芹半句低俗？这群人一来带大名写这种垃圾污染bbx广场，要举报碍着我睡觉还浪费我时间；二来大言不惭说毒唯拔x无情回踩xhw还群体白嫖；最后这文章看得我胃里犯恶心，罪加一等 网页链接,很酷的柯基,//weibo.com/5832408269/G3PvXkx83?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,3,	  判断xhw的方法是写这篇文的主旨是什么，正常文里出现的H描写是根据作者的情节安排水到渠成，xhw里的H是为了性而性。当然也有网文作者专门写这种题材的，但人家可没有拿现实生活中的明星偶像当作自己的主角进行无底线的意淫（比如人shou/乱lun）。 “大部分文里都有H凭什么自己写的文就叫xhw？”这个问 ​		...展开全文c,NA,//weibo.com/6035440022/G3PAwqxV2?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,4,		【无良商家乱排污水 造成蔬菜大棚无法作业】 家住铁岭市西丰县乐善村小学旁边有一个干豆腐厂子 排水污染很大 拍出的污水往河里还有旁边的大坑里排 造成很大的污染 厂子旁边都是种蔬菜的大棚 下面...（分享自 @百度贴吧）#来手机贴吧，看你想看的# 网页链接 ​		,信者得爱2730442567_887,//weibo.com/2730442567/G3PAeqs5N?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,5,		节目里恍惚看着的气质有点像鹿晗，但是真的挺特别的，没被人情世故名利场污染过的好看。		,大圣这可万万使不得啊,//weibo.com/5460766524/G3PyLDl5I?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,6,#偶像练习生#“做练习生累吗？”“会累，但因为喜欢，所以...”大年初四<雨水>节气宠爱→坤音娱乐BC221【小鱼访谈之#灵超# 】part 1千言万语感谢宝贝们一路支持，记得继续每日投票：网页链接你们的每一票都至关重要！ BC221的秒... ​	,NA,//weibo.com/2987969434/G3PAdfwn9?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,7,		//@爱留胡茬的权大叔://@DragonKnight_G字反黑组:广场被污染，大家转赞评好的微博上精选，点赞评论转发这条,喜欢大茄子,//weibo.com/2667414910/G3OeUADYX?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,8,#权志龙##鸡涌是宝宝# 一笑就是小括弧心都酥了真是乖崽崽啊又是只爱你的一天@GDRAGON_OFFICIAL ​	,NA,//weibo.com/5558039196/G3PAb992F?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,9,		【成都18日17时解除重污染天气黄色预警】记者今日从成都市重污染天气应急指挥办公室获悉，根据2月18日天气潜势预报，未来三天气象扩散条件为中等及中等偏好。|成都18日17... ​		,成都最新资讯传送门,//weibo.com/6077839070/G3PAa0nby?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,10,		我参与了@五星麦克阿瑟 发起的投票 【你给今年的春晚打几分？】，我投给了“负分，滚粗！噪音污染”这个选项。你也快来表态吧~		,昌佑玖洲,//weibo.com/6445381362/G3nkoEYsR?refer_flag=1001030103_
污染; 2018-02-19; 1; 10,11,	  我发起了一个投票 【你给今年的春晚打几分？】网页链接 ​	,NA,//weibo.com/6488504009/G3PA5vb6F?refer_flag=1001030103_
